bin_left,bin_right,count
0.07012748718261719,0.07480301856994628,1
0.07480301856994628,0.0794785499572754,1
0.0794785499572754,0.08415408134460449,2
0.08415408134460449,0.0888296127319336,4
0.0888296127319336,0.0935051441192627,3
0.0935051441192627,0.09818067550659179,11
0.09818067550659179,0.10285620689392089,4
0.10285620689392089,0.10753173828125,7
0.10753173828125,0.11220726966857911,5
0.11220726966857911,0.1168828010559082,2
0.1168828010559082,0.1215583324432373,4
0.1215583324432373,0.1262338638305664,11
0.1262338638305664,0.13090939521789552,11
0.13090939521789552,0.1355849266052246,8
0.1355849266052246,0.1402604579925537,6
0.1402604579925537,0.1449359893798828,9
0.1449359893798828,0.1496115207672119,8
0.1496115207672119,0.15428705215454103,8
0.15428705215454103,0.1589625835418701,20
0.1589625835418701,0.16363811492919922,30
