item_id,cefr_true,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,acc_test_mid,brier_test_mid,logloss_test_mid,acc_weak_test,acc_strong_test,gap_weak_strong_test,var_p,ci95_low,ci95_high,ci95_width,level_hat,band_hat_lo,band_hat_hi,d_to_boundary_hat,nearest_boundary_hat,learned_edges_q
1,A1,0.8999999999999999,74.0,5.0,73,77,0.9367088607594937,0.036708860759493755,0.8787878787878788,0.10987458303593538,0.39200423571982984,0.7575757575757576,1.0,0.24242424242424243,0.0007410671366768146,0.8738727569580078,0.9788603782653809,0.10498762130737305,L6,0.8734177215189873,0.9493670886075949,0.012658227848101222,0.9493670886075949,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
2,A2,0.7749999999999999,54.0,25.0,53,77,0.6835443037974683,-0.09145569620253158,0.8181818181818182,0.16688759085810842,0.5204834825747605,0.8181818181818182,0.8787878787878788,0.06060606060606055,0.002703893606793783,0.57757568359375,0.7807121276855469,0.20313644409179688,L4,0.620253164556962,0.7721518987341772,0.06329113924050633,0.620253164556962,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
5,C1,0.325,32.0,47.0,31,77,0.4050632911392405,0.08006329113924049,0.21212121212121213,0.20435244934523897,0.600842126283397,0.09090909090909091,0.3333333333333333,0.2424242424242424,0.0030123377663835924,0.3000812530517578,0.5146007537841797,0.21451950073242188,L2,0.2911392405063291,0.45569620253164556,0.050632911392405056,0.45569620253164556,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
6,C2,0.175,10.0,69.0,9,77,0.12658227848101267,-0.04841772151898732,0.21212121212121213,0.17444271265774228,0.5450580109371104,0.06060606060606061,0.24242424242424243,0.18181818181818182,0.0013819900656946002,0.06322765350341797,0.20776748657226562,0.14453983306884766,L1,0.12658227848101267,0.2911392405063291,0.0,0.12658227848101267,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
8,A1,0.8999999999999999,72.0,7.0,71,77,0.9113924050632911,0.0113924050632912,0.8181818181818182,0.15744854408530104,0.5165555461711011,0.7878787878787878,0.8484848484848485,0.06060606060606066,0.0010094536132030122,0.8400535583496094,0.9631528854370117,0.12309932708740234,L6,0.8734177215189873,0.9493670886075949,0.03797468354430378,0.8734177215189873,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
10,A2,0.7749999999999999,62.0,17.0,61,77,0.7848101265822784,0.009810126582278533,0.7272727272727273,0.20165765975732325,0.5952010240552595,0.7878787878787878,0.9393939393939394,0.1515151515151516,0.0021110398974523315,0.6883697509765625,0.8676090240478516,0.17923927307128906,L5,0.7721518987341772,0.8734177215189873,0.012658227848101222,0.7721518987341772,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
11,B1,0.625,56.0,23.0,55,77,0.7088607594936709,0.08386075949367089,0.7878787878787878,0.173369652299311,0.5328538079028418,0.36363636363636365,0.8181818181818182,0.4545454545454546,0.002579714789296587,0.6046695709228516,0.8030376434326172,0.19836807250976562,L4,0.620253164556962,0.7721518987341772,0.06329113924050633,0.7721518987341772,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
12,B1,0.625,48.0,31.0,47,77,0.6075949367088608,-0.017405063291139222,0.6666666666666666,0.22571169150243017,0.6439847770333789,0.5151515151515151,0.7575757575757576,0.24242424242424243,0.002980291619932703,0.49833106994628906,0.7116966247558594,0.2133655548095703,L3,0.45569620253164556,0.620253164556962,0.012658227848101222,0.620253164556962,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
13,B2,0.47500000000000003,42.0,37.0,41,77,0.5316455696202531,0.05664556962025308,0.45454545454545453,0.2538783120420679,0.7009155281686408,0.24242424242424243,0.6363636363636364,0.3939393939393939,0.0031124819740426216,0.4218425750732422,0.6399307250976562,0.21808815002441406,L3,0.45569620253164556,0.620253164556962,0.07594936708860756,0.45569620253164556,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
14,B2,0.47500000000000003,40.0,39.0,39,77,0.5063291139240507,0.03132911392405063,0.5757575757575758,0.24908110102790437,0.6913092865888445,0.3333333333333333,0.6060606060606061,0.27272727272727276,0.003124499278961705,0.39692115783691406,0.6154327392578125,0.21851158142089844,L3,0.45569620253164556,0.620253164556962,0.05063291139240511,0.45569620253164556,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
15,C1,0.325,30.0,49.0,29,77,0.379746835443038,0.05474683544303799,0.36363636363636365,0.2316645059795196,0.6560358876103844,0.18181818181818182,0.42424242424242425,0.24242424242424243,0.0029442397051754527,0.27660179138183594,0.4886608123779297,0.21205902099609375,L2,0.2911392405063291,0.45569620253164556,0.07594936708860756,0.45569620253164556,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
16,C1,0.325,32.0,47.0,31,77,0.4050632911392405,0.08006329113924049,0.2727272727272727,0.21585992920714922,0.6241398050052352,0.18181818181818182,0.48484848484848486,0.30303030303030304,0.0030123377663835924,0.3000812530517578,0.5146007537841797,0.21451950073242188,L2,0.2911392405063291,0.45569620253164556,0.050632911392405056,0.45569620253164556,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
17,C2,0.175,13.0,66.0,12,77,0.16455696202531644,-0.010443037974683544,0.24242424242424243,0.18971804246599952,0.5736610824563265,0.09090909090909091,0.21212121212121213,0.12121212121212122,0.0017184746034289377,0.09183883666992188,0.25332069396972656,0.1614818572998047,L1,0.12658227848101267,0.2911392405063291,0.03797468354430378,0.12658227848101267,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
18,C2,0.175,14.0,65.0,13,77,0.17721518987341772,0.0022151898734177333,0.15151515151515152,0.1292188023481085,0.42768633109871446,0.18181818181818182,0.24242424242424243,0.06060606060606061,0.0018226245793943278,0.10174942016601562,0.26812744140625,0.16637802124023438,L1,0.12658227848101267,0.2911392405063291,0.050632911392405056,0.12658227848101267,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
194998,C2,0.175,13.0,66.0,12,77,0.16455696202531644,-0.010443037974683544,0.21212121212121213,0.16938816137662477,0.5244275859543601,0.15151515151515152,0.36363636363636365,0.21212121212121213,0.0017184746034289377,0.09183883666992188,0.25332069396972656,0.1614818572998047,L1,0.12658227848101267,0.2911392405063291,0.03797468354430378,0.12658227848101267,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
194999,C2,0.175,14.0,65.0,13,77,0.17721518987341772,0.0022151898734177333,0.15151515151515152,0.12921880234810854,0.42768633109871446,0.21212121212121213,0.2727272727272727,0.06060606060606058,0.0018226245793943278,0.10174942016601562,0.26812744140625,0.16637802124023438,L1,0.12658227848101267,0.2911392405063291,0.050632911392405056,0.12658227848101267,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
195000,B1,0.625,42.0,37.0,41,77,0.5316455696202531,-0.09335443037974689,0.7272727272727273,0.23661709224920255,0.666346881176147,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0031124819740426216,0.4218425750732422,0.6399307250976562,0.21808815002441406,L3,0.45569620253164556,0.620253164556962,0.07594936708860756,0.45569620253164556,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
195001,A2,0.7749999999999999,64.0,15.0,63,77,0.810126582278481,0.03512658227848109,0.7575757575757576,0.1864163182862109,0.5622818314727949,0.6060606060606061,0.8484848484848485,0.24242424242424243,0.0019227687870533568,0.7172260284423828,0.8881797790527344,0.17095375061035156,L5,0.7721518987341772,0.8734177215189873,0.03797468354430378,0.7721518987341772,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
195002,A1,0.8999999999999999,73.0,6.0,72,77,0.9240506329113924,0.024050632911392533,0.9393939393939394,0.05716838307769248,0.23042477325319619,0.8787878787878788,0.9090909090909091,0.030303030303030276,0.0008772632590930941,0.8567123413085938,0.971247673034668,0.11453533172607422,L6,0.8734177215189873,0.9493670886075949,0.025316455696202445,0.9493670886075949,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
195003,C1,0.325,32.0,47.0,31,77,0.4050632911392405,0.08006329113924049,0.3333333333333333,0.22736740906905947,0.6474374837270735,0.18181818181818182,0.5454545454545454,0.3636363636363636,0.0030123377663835924,0.3000812530517578,0.5146007537841797,0.21451950073242188,L2,0.2911392405063291,0.45569620253164556,0.050632911392405056,0.45569620253164556,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
195004,A2,0.7749999999999999,63.0,16.0,62,77,0.7974683544303798,0.022468354430379867,0.8484848484848485,0.13116099304210183,0.4339716115530269,0.5454545454545454,0.8787878787878788,0.33333333333333337,0.0020189072264060245,0.7027301788330078,0.8779630661010742,0.1752328872680664,L5,0.7721518987341772,0.8734177215189873,0.025316455696202556,0.7721518987341772,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
195005,A2,0.7749999999999999,63.0,16.0,62,77,0.7974683544303798,0.022468354430379867,0.8787878787878788,0.11313260792510912,0.39243991445751925,0.5757575757575758,0.9696969696969697,0.3939393939393939,0.0020189072264060245,0.7027301788330078,0.8779630661010742,0.1752328872680664,L5,0.7721518987341772,0.8734177215189873,0.025316455696202556,0.7721518987341772,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
