item_id,cefr_true,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,acc_test_mid,brier_test_mid,logloss_test_mid,acc_weak_test,acc_strong_test,gap_weak_strong_test,var_p,ci95_low,ci95_high,ci95_width,level_hat,band_hat_lo,band_hat_hi,d_to_boundary_hat,nearest_boundary_hat,learned_edges_q
1,A1,0.8999999999999999,95.0,5.0,94,98,0.95,0.050000000000000044,0.8571428571428571,0.13107142857142862,0.4719274342684705,0.8571428571428571,0.9523809523809523,0.09523809523809523,0.0004702970297029703,0.8997726440429688,0.9834001064300537,0.08362746238708496,L6,0.88,0.96,0.010000000000000009,0.96,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
2,A2,0.7749999999999999,72.0,28.0,71,98,0.72,-0.05499999999999994,0.7857142857142857,0.1726857142857143,0.5308886974379329,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.0019960396039603963,0.6285285949707031,0.8031387329101562,0.17461013793945312,L4,0.62,0.78,0.06000000000000005,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
5,C1,0.325,36.0,64.0,35,98,0.36,0.034999999999999976,0.23809523809523808,0.19626666666666667,0.5832785657006961,0.21428571428571427,0.38095238095238093,0.16666666666666666,0.0022811881188118813,0.2692699432373047,0.4560356140136719,0.1867656707763672,L2,0.2933333333333333,0.46333333333333326,0.06666666666666671,0.2933333333333333,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
6,C2,0.175,12.0,88.0,11,98,0.12,-0.05499999999999999,0.2619047619047619,0.21344761904761902,0.6496603194049388,0.11904761904761904,0.2857142857142857,0.16666666666666666,0.0010455445544554456,0.06422805786132812,0.19011688232421875,0.12588882446289062,L1,0.12,0.2933333333333333,0.0,0.12,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
8,A1,0.8999999999999999,90.0,10.0,89,98,0.9,1.1102230246251565e-16,0.8333333333333334,0.1433333333333333,0.4715646118805295,0.8571428571428571,0.9285714285714286,0.07142857142857151,0.0008910891089108911,0.8344306945800781,0.9504890441894531,0.116058349609375,L6,0.88,0.96,0.020000000000000018,0.88,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
10,A2,0.7749999999999999,77.0,23.0,76,98,0.77,-0.004999999999999893,0.8333333333333334,0.1429,0.4627499651218298,0.7142857142857143,0.8809523809523809,0.16666666666666663,0.0017534653465346535,0.6831092834472656,0.8466691970825195,0.1635599136352539,L4,0.62,0.78,0.010000000000000009,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
11,B1,0.625,74.0,26.0,73,98,0.74,0.11499999999999999,0.40476190476190477,0.3533142857142857,0.9237054232498071,0.40476190476190477,0.6428571428571429,0.23809523809523814,0.001904950495049505,0.6501827239990234,0.8207273483276367,0.17054462432861328,L4,0.62,0.78,0.040000000000000036,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
12,B1,0.625,63.0,37.0,62,98,0.63,0.0050000000000000044,0.5952380952380952,0.24213809523809532,0.6774565508752312,0.5,0.8333333333333334,0.33333333333333337,0.002307920792079208,0.5336036682128906,0.7214689254760742,0.1878652572631836,L4,0.62,0.78,0.010000000000000009,0.62,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
13,B2,0.47500000000000003,53.0,47.0,52,98,0.53,0.05499999999999999,0.47619047619047616,0.25232857142857146,0.6978110072103837,0.38095238095238093,0.6666666666666666,0.2857142857142857,0.0024663366336633665,0.43230628967285156,0.626556396484375,0.19425010681152344,L3,0.46333333333333326,0.62,0.06666666666666676,0.46333333333333326,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
14,B2,0.47500000000000003,52.0,48.0,51,98,0.52,0.044999999999999984,0.5952380952380952,0.2465904761904762,0.6863247062269048,0.3333333333333333,0.6190476190476191,0.28571428571428575,0.0024712871287128715,0.4223976135253906,0.6168441772460938,0.19444656372070312,L3,0.46333333333333326,0.62,0.056666666666666754,0.46333333333333326,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
15,C1,0.325,39.0,61.0,38,98,0.39,0.065,0.42857142857142855,0.2463857142857143,0.6860015581192079,0.19047619047619047,0.5,0.30952380952380953,0.0023554455445544556,0.2971830368041992,0.4869861602783203,0.1898031234741211,L2,0.2933333333333333,0.46333333333333326,0.07333333333333325,0.46333333333333326,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
16,C1,0.325,37.0,63.0,36,98,0.37,0.044999999999999984,0.2619047619047619,0.20499523809523817,0.6014255774827585,0.047619047619047616,0.5714285714285714,0.5238095238095237,0.002307920792079208,0.2785310745239258,0.4663963317871094,0.1878652572631836,L2,0.2933333333333333,0.46333333333333326,0.07666666666666672,0.2933333333333333,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
17,C2,0.175,19.0,81.0,18,98,0.19,0.015000000000000013,0.14285714285714285,0.12467142857142861,0.41786534210222376,0.14285714285714285,0.30952380952380953,0.16666666666666669,0.0015237623762376239,0.11968421936035156,0.27204418182373047,0.1523599624633789,L1,0.12,0.2933333333333333,0.07,0.12,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
18,C2,0.175,19.0,81.0,18,98,0.19,0.015000000000000013,0.11904761904761904,0.10990952380952386,0.38334129030446185,0.047619047619047616,0.2857142857142857,0.23809523809523808,0.0015237623762376239,0.11968421936035156,0.27204418182373047,0.1523599624633789,L1,0.12,0.2933333333333333,0.07,0.12,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
194998,C2,0.175,17.0,83.0,16,98,0.17,-0.004999999999999977,0.21428571428571427,0.17032857142857144,0.5261068489930039,0.14285714285714285,0.23809523809523808,0.09523809523809523,0.001397029702970297,0.1033334732055664,0.2491464614868164,0.14581298828125,L1,0.12,0.2933333333333333,0.05000000000000002,0.12,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
194999,C2,0.175,19.0,81.0,18,98,0.19,0.015000000000000013,0.09523809523809523,0.09514761904761905,0.3488172385067,0.14285714285714285,0.30952380952380953,0.16666666666666669,0.0015237623762376239,0.11968421936035156,0.27204418182373047,0.1523599624633789,L1,0.12,0.2933333333333333,0.07,0.12,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195000,B1,0.625,58.0,42.0,57,98,0.58,-0.04500000000000004,0.6666666666666666,0.2297333333333333,0.6523183061960225,0.42857142857142855,0.7380952380952381,0.3095238095238096,0.002411881188118812,0.48244476318359375,0.6745243072509766,0.1920795440673828,L3,0.46333333333333326,0.62,0.040000000000000036,0.62,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195001,A2,0.7749999999999999,79.0,21.0,78,98,0.79,0.015000000000000124,0.7619047619047619,0.1821952380952381,0.5511807656028791,0.5952380952380952,0.8571428571428571,0.26190476190476186,0.0016425742574257426,0.7053861618041992,0.8636379241943359,0.15825176239013672,L5,0.78,0.88,0.010000000000000009,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195002,A1,0.8999999999999999,93.0,7.0,92,98,0.93,0.030000000000000138,0.8809523809523809,0.1072809523809524,0.3805099004655429,0.8095238095238095,0.9047619047619048,0.09523809523809523,0.0006445544554455445,0.8727436065673828,0.9711008071899414,0.0983572006225586,L6,0.88,0.96,0.029999999999999916,0.96,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195003,C1,0.325,40.0,60.0,39,98,0.4,0.07500000000000001,0.35714285714285715,0.23142857142857146,0.655634590947478,0.23809523809523808,0.3333333333333333,0.09523809523809523,0.002376237623762376,0.30657196044921875,0.49721717834472656,0.1906452178955078,L2,0.2933333333333333,0.46333333333333326,0.06333333333333324,0.46333333333333326,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195004,A2,0.7749999999999999,80.0,20.0,79,98,0.8,0.025000000000000133,0.8095238095238095,0.1542857142857143,0.4871996200989508,0.7619047619047619,0.9285714285714286,0.16666666666666674,0.0015841584158415843,0.7166328430175781,0.8720149993896484,0.1553821563720703,L5,0.78,0.88,0.020000000000000018,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195005,A2,0.7749999999999999,81.0,19.0,80,98,0.81,0.03500000000000014,0.8095238095238095,0.1541952380952381,0.4869134456977476,0.6428571428571429,0.9047619047619048,0.26190476190476186,0.0015237623762376239,0.7279558181762695,0.8803157806396484,0.1523599624633789,L5,0.78,0.88,0.030000000000000027,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195006,B2,0.47500000000000003,47.0,53.0,46,98,0.47,-0.00500000000000006,0.5,0.2509,0.6949504283570013,0.35714285714285715,0.5952380952380952,0.23809523809523808,0.0024663366336633665,0.373443603515625,0.5676937103271484,0.19425010681152344,L3,0.46333333333333326,0.62,0.00666666666666671,0.46333333333333326,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195007,A1,0.8999999999999999,91.0,9.0,90,98,0.91,0.01000000000000012,0.9047619047619048,0.08619523809523809,0.3146568632027299,0.7142857142857143,0.9047619047619048,0.19047619047619047,0.0008108910891089109,0.8469734191894531,0.9575834274291992,0.1106100082397461,L6,0.88,0.96,0.030000000000000027,0.88,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195008,C2,0.175,19.0,81.0,18,98,0.19,0.015000000000000013,0.14285714285714285,0.12467142857142861,0.41786534210222387,0.09523809523809523,0.3333333333333333,0.23809523809523808,0.0015237623762376239,0.11968421936035156,0.27204418182373047,0.1523599624633789,L1,0.12,0.2933333333333333,0.07,0.12,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195009,A1,0.8999999999999999,94.0,6.0,93,98,0.94,0.040000000000000036,0.9285714285714286,0.06645714285714287,0.25841364036394093,0.8571428571428571,0.8571428571428571,0.0,0.0005584158415841584,0.8860645294189453,0.9774360656738281,0.09137153625488281,L6,0.88,0.96,0.020000000000000018,0.96,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195010,A2,0.7749999999999999,79.0,21.0,78,98,0.79,0.015000000000000124,0.6666666666666666,0.23743333333333336,0.6773641384356027,0.6666666666666666,0.7380952380952381,0.07142857142857151,0.0016425742574257426,0.7053861618041992,0.8636379241943359,0.15825176239013672,L5,0.78,0.88,0.010000000000000009,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195011,B1,0.625,60.0,40.0,59,98,0.6,-0.025000000000000022,0.5714285714285714,0.24571428571428572,0.6845963843837755,0.5476190476190477,0.7619047619047619,0.2142857142857142,0.002376237623762376,0.5027828216552734,0.6934280395507812,0.1906452178955078,L3,0.46333333333333326,0.62,0.020000000000000018,0.62,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195012,A1,0.8999999999999999,89.0,11.0,88,98,0.89,-0.009999999999999898,0.9285714285714286,0.0678142857142857,0.26587246603693515,0.7380952380952381,0.9285714285714286,0.19047619047619047,0.0009693069306930693,0.8220748901367188,0.943211555480957,0.12113666534423828,L6,0.88,0.96,0.010000000000000009,0.88,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195013,A2,0.7749999999999999,80.0,20.0,79,98,0.8,0.025000000000000133,0.8333333333333334,0.14,0.45419261150085816,0.5714285714285714,0.8095238095238095,0.23809523809523814,0.0015841584158415843,0.7166328430175781,0.8720149993896484,0.1553821563720703,L5,0.78,0.88,0.020000000000000018,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195014,C1,0.325,28.0,72.0,27,98,0.28,-0.044999999999999984,0.38095238095238093,0.24601904761904764,0.6882989655780747,0.19047619047619047,0.4523809523809524,0.2619047619047619,0.0019960396039603963,0.19686126708984375,0.3714714050292969,0.17461013793945312,L1,0.12,0.2933333333333333,0.013333333333333253,0.2933333333333333,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195015,C2,0.175,15.0,85.0,14,98,0.15,-0.024999999999999994,0.19047619047619047,0.15583333333333332,0.4929191305240809,0.09523809523809523,0.38095238095238093,0.2857142857142857,0.0012623762376237624,0.08735466003417969,0.2258739471435547,0.138519287109375,L1,0.12,0.2933333333333333,0.03,0.12,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195016,A2,0.7749999999999999,83.0,17.0,82,98,0.83,0.05500000000000005,0.6666666666666666,0.24889999999999998,0.7148719994382873,0.5952380952380952,0.9047619047619048,0.30952380952380953,0.001397029702970297,0.7508535385131836,0.8966665267944336,0.14581298828125,L5,0.78,0.88,0.04999999999999993,0.78,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
195017,A1,0.8999999999999999,86.0,14.0,85,98,0.86,-0.039999999999999925,0.8095238095238095,0.1567428571428571,0.49659240718948827,0.8333333333333334,0.9285714285714286,0.09523809523809523,0.001192079207920792,0.7859230041503906,0.920475959777832,0.1345529556274414,L5,0.78,0.88,0.020000000000000018,0.88,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
