x,y_fit,slope,intercept,pearson_r
0.0,0.13628997977978466,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0003892702951376599,0.13630454481750529,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0007785405902753198,0.1363191098552259,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0011678108854129797,0.13633367489294657,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0015570811805506396,0.1363482399306672,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0019463514756882995,0.13636280496838782,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0023356217708259594,0.13637737000610844,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0027248920659636196,0.1363919350438291,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0031141623611012793,0.13640650008154973,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.003503432656238939,0.13642106511927035,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.003892702951376599,0.13643563015699098,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.004281973246514259,0.13645019519471163,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.004671243541651919,0.13646476023243226,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.005060513836789579,0.13647932527015288,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.005449784131927239,0.1364938903078735,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.005839054427064899,0.13650845534559414,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0062283247222025585,0.1365230203833148,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.006617595017340218,0.13653758542103542,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.007006865312477878,0.13655215045875604,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.0073961356076155385,0.13656671549647667,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.007785405902753198,0.13658128053419732,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.008174676197890859,0.13659584557191795,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.008563946493028518,0.13661041060963858,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.008953216788166178,0.1366249756473592,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.009342487083303838,0.13663954068507986,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.009731757378441497,0.13665410572280048,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.010121027673579157,0.1366686707605211,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.010510297968716817,0.13668323579824174,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.010899568263854478,0.1366978008359624,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.011288838558992138,0.13671236587368302,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.011678108854129798,0.13672693091140364,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.012067379149267457,0.13674149594912427,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.012456649444405117,0.1367560609868449,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.012845919739542777,0.13677062602456555,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.013235190034680436,0.13678519106228618,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.013624460329818096,0.1367997561000068,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.014013730624955756,0.13681432113772743,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.014403000920093417,0.13682888617544808,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.014792271215231077,0.1368434512131687,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.015181541510368737,0.13685801625088934,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.015570811805506396,0.13687258128860996,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.015960082100644056,0.13688714632633062,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.016349352395781717,0.13690171136405124,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.016738622690919375,0.13691627640177187,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.017127892986057037,0.1369308414394925,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.017517163281194695,0.13694540647721312,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.017906433576332356,0.13695997151493378,0.037416257809967476,0.13628997977978466,0.032669029365991184
0.018295703871470014,0.1369745365526544,0.037416257809967476,0.13628997977978466,0.032669029365991184
