item_id,cefr_true,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,acc_test_mid,brier_test_mid,logloss_test_mid,acc_weak_test,acc_strong_test,gap_weak_strong_test,var_p,ci95_low,ci95_high,ci95_width,level_hat,band_hat_lo,band_hat_hi,d_to_boundary_hat,nearest_boundary_hat,learned_edges_q
1,A1,0.8516666666666667,12.0,4.0,11,14,0.75,-0.10166666666666668,1.0,0.0625,0.28768207245178085,0.8333333333333334,1.0,0.16666666666666663,0.011029411764705883,0.5191078186035156,0.9221286773681641,0.40302085876464844,L5,0.6875,0.8125,0.0625,0.6875,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
2,A1,0.855,10.0,6.0,9,14,0.625,-0.22999999999999998,1.0,0.140625,0.47000362924573563,0.6666666666666666,1.0,0.33333333333333337,0.013786764705882353,0.3838043212890625,0.8366355895996094,0.4528312683105469,L4,0.5625,0.6875,0.0625,0.5625,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
3,A1,0.8583333333333333,15.0,1.0,14,14,0.9375,0.07916666666666672,1.0,0.00390625,0.06453852113757118,0.5,0.8333333333333334,0.33333333333333337,0.003446691176470588,0.781982421875,0.9983135461807251,0.2163311243057251,L6,0.8125,0.9375,0.0,0.9375,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
4,A1,0.8616666666666667,15.0,1.0,14,14,0.9375,0.07583333333333331,1.0,0.00390625,0.06453852113757118,1.0,0.5,-0.5,0.003446691176470588,0.781982421875,0.9983135461807251,0.2163311243057251,L6,0.8125,0.9375,0.0,0.9375,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
5,A1,0.865,12.0,4.0,11,14,0.75,-0.11499999999999999,0.8333333333333334,0.14583333333333334,0.47078412056313246,0.5,0.8333333333333334,0.33333333333333337,0.011029411764705883,0.5191078186035156,0.9221286773681641,0.40302085876464844,L5,0.6875,0.8125,0.0625,0.6875,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
6,A1,0.8683333333333333,14.0,2.0,13,14,0.875,0.00666666666666671,0.8333333333333334,0.140625,0.4578497508004082,1.0,1.0,0.0,0.006433823529411764,0.6805152893066406,0.983424186706543,0.30290889739990234,L6,0.8125,0.9375,0.0625,0.8125,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
7,A1,0.8716666666666666,13.0,3.0,12,14,0.8125,-0.05916666666666659,0.8333333333333334,0.13932291666666666,0.45202887624381566,0.8333333333333334,1.0,0.16666666666666663,0.008961397058823529,0.59539794921875,0.9566879272460938,0.36128997802734375,L6,0.8125,0.9375,0.0,0.8125,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
8,A1,0.875,15.0,1.0,14,14,0.9375,0.0625,0.8333333333333334,0.14973958333333334,0.5158802213212729,1.0,1.0,0.0,0.003446691176470588,0.781982421875,0.9983135461807251,0.2163311243057251,L6,0.8125,0.9375,0.0,0.9375,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
9,A1,0.8783333333333333,14.0,2.0,13,14,0.875,-0.0033333333333332993,1.0,0.015625,0.13353139262452263,1.0,1.0,0.0,0.006433823529411764,0.6805152893066406,0.983424186706543,0.30290889739990234,L6,0.8125,0.9375,0.0625,0.8125,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
10,A1,0.8816666666666666,15.0,1.0,14,14,0.9375,0.0558333333333334,0.8333333333333334,0.14973958333333334,0.5158802213212729,0.8333333333333334,1.0,0.16666666666666663,0.003446691176470588,0.781982421875,0.9983135461807251,0.2163311243057251,L6,0.8125,0.9375,0.0,0.9375,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
