bin_left,bin_right,count
0.06503844261169434,0.06996842622756957,1
0.06996842622756957,0.07489840984344483,6
0.07489840984344483,0.07982839345932007,1
0.07982839345932007,0.08475837707519532,2
0.08475837707519532,0.08968836069107056,2
0.08968836069107056,0.0946183443069458,6
0.0946183443069458,0.09954832792282103,1
0.09954832792282103,0.10447831153869629,3
0.10447831153869629,0.10940829515457154,9
0.10940829515457154,0.11433827877044678,5
0.11433827877044678,0.11926826238632202,7
0.11926826238632202,0.12419824600219725,1
0.12419824600219725,0.12912822961807252,10
0.12912822961807252,0.13405821323394773,6
0.13405821323394773,0.138988196849823,10
0.138988196849823,0.14391818046569824,15
0.14391818046569824,0.14884816408157348,16
0.14884816408157348,0.15377814769744874,16
0.15377814769744874,0.15870813131332395,13
0.15870813131332395,0.16363811492919922,50
