item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
163,C2,C2,exact,0.13453209863423213,11.0,33.0,10,42,0.25,0.11546790136576787,0.13518595028853092,0.3863082118395834,0.2511222615510525,0.05555555555555555,0.09027777777777778,0.34871608848889807,0.5219071877130654,0.06007274383970729,0.7633111669310545,0.03453209863423212,0.1,0.0,0.25,0.2777777777777778,0.1111111111111111,-0.16666666666666669,1,1,1,0,1,1,60,18
164,C2,C2,exact,0.10561188342642697,8.0,36.0,7,42,0.18181818181818182,0.07620629839175486,0.08391239977559439,0.30701087236490987,0.22309847258931548,0.2222222222222222,0.1744719926538108,0.5349101169679898,0.8683182294757121,0.7374284244491051,0.3944124882750707,0.005611883426426961,0.1,0.06818181818181818,0.25,0.1111111111111111,0.2777777777777778,0.16666666666666669,0,0,0,1,0,1,60,18
165,C2,C2,exact,0.18322787040872252,11.0,33.0,10,42,0.25,0.06677212959127748,0.13518595028853092,0.3863082118395834,0.2511222615510525,0.1111111111111111,0.11805555555555555,0.4097501045260153,0.5219071877130654,0.06007274383970729,0.7633111669310545,0.06677212959127748,0.25,0.0,0.25,0.2222222222222222,0.2222222222222222,0.0,1,1,1,0,1,1,60,18
167,C2,C2,exact,0.224468461469862,9.0,35.0,8,42,0.20454545454545456,-0.019923006924407433,0.10044114667792949,0.33401446724241335,0.23357332056448388,0.3333333333333333,0.23880853994490353,0.6815494004799123,0.777106355563144,0.5566497023955429,0.5439845109777379,0.02553153853013801,0.25,0.04545454545454544,0.25,0.2777777777777778,0.2222222222222222,-0.05555555555555558,0,0,0,0,1,1,60,18
168,C2,C2,exact,0.22123772080964527,10.0,34.0,9,42,0.22727272727272727,0.006035006463081999,0.11755357110870185,0.36042475209416674,0.2428711809854649,0.16666666666666666,0.14256198347107438,0.46179168123911907,0.6580157282944367,0.322702475873748,0.6752554503649821,0.028762279190354734,0.25,0.022727272727272735,0.25,0.16666666666666666,0.5,0.33333333333333337,1,0,0,0,0,1,60,18
170,C2,C2,exact,0.24293490926046174,10.0,34.0,9,42,0.22727272727272727,-0.015662181987734475,0.11755357110870185,0.36042475209416674,0.2428711809854649,0.3333333333333333,0.23347107438016523,0.6657542531761383,0.6580157282944367,0.322702475873748,0.6752554503649821,0.00706509073953826,0.25,0.022727272727272735,0.25,0.0,0.16666666666666666,0.16666666666666666,1,0,0,1,0,1,60,18
171,C2,C2,exact,0.1436376757210178,9.0,35.0,8,42,0.20454545454545456,0.060907778824436765,0.10044114667792949,0.33401446724241335,0.23357332056448388,0.2222222222222222,0.17315197428833795,0.5306467911295575,0.777106355563144,0.5566497023955429,0.5439845109777379,0.04363767572101779,0.1,0.04545454545454544,0.25,0.2222222222222222,0.16666666666666666,-0.05555555555555555,0,0,0,0,1,1,60,18
172,C2,C2,exact,0.1772585693847572,5.0,39.0,4,42,0.11363636363636363,-0.06362220574839357,0.038852314778061725,0.22135344538138632,0.1825011306033246,0.05555555555555555,0.0558425160697888,0.2347459729939229,0.9843271318549028,0.9686687470737098,0.08079876138668801,0.0727414306152428,0.25,0.013636363636363627,0.1,0.16666666666666666,0.1111111111111111,-0.05555555555555555,0,0,0,0,1,1,60,18
174,C2,C2,exact,0.2404065355073445,10.0,34.0,9,42,0.22727272727272727,-0.013133808234617239,0.11755357110870185,0.36042475209416674,0.2428711809854649,0.2222222222222222,0.17286501377410465,0.5297792052181256,0.6580157282944367,0.322702475873748,0.6752554503649821,0.009593464492655496,0.25,0.022727272727272735,0.25,0.2777777777777778,0.4444444444444444,0.16666666666666663,1,0,0,1,0,1,60,18
175,C2,C2,exact,0.12469117263730273,7.0,37.0,6,42,0.1590909090909091,0.03439973645360636,0.06805209446146922,0.27932480031414925,0.21127270585268004,0.1111111111111111,0.10106749311294767,0.3582725838950268,0.9294129342393188,0.8590558779290316,0.25670196647574994,0.024691172637302722,0.1,0.05909090909090908,0.1,0.2222222222222222,0.1111111111111111,-0.1111111111111111,0,0,0,0,1,1,60,18
176,C2,C2,exact,0.10673659290884935,3.0,41.0,2,42,0.06818181818181818,-0.03855477472703117,0.01462549699513223,0.1581114583086977,0.14348596131356545,0.0,0.004648760330578512,0.07061756721395329,0.9973093190489556,0.994619320437697,0.018616734731167175,0.006736592908849343,0.1,0.03181818181818183,0.1,0.0,0.16666666666666666,0.16666666666666666,0,0,0,1,0,1,60,18
177,C2,C2,exact,0.1652645590004557,10.0,34.0,9,42,0.22727272727272727,0.06200816827227157,0.11755357110870185,0.36042475209416674,0.2428711809854649,0.16666666666666666,0.14256198347107438,0.46179168123911907,0.6580157282944367,0.322702475873748,0.6752554503649821,0.06526455900045569,0.1,0.022727272727272735,0.25,0.1111111111111111,0.05555555555555555,-0.05555555555555555,1,0,0,0,1,1,60,18
178,C2,C2,exact,0.24885633460837556,11.0,33.0,10,42,0.25,0.0011436653916244433,0.13518595028853092,0.3863082118395834,0.2511222615510525,0.16666666666666666,0.14583333333333334,0.4707841205631326,0.5219071877130654,0.06007274383970729,0.7633111669310545,0.0011436653916244433,0.25,0.0,0.25,0.16666666666666666,0.4444444444444444,0.2777777777777778,1,1,1,1,0,1,60,18
180,C2,C1,adjacent,0.21229120291854237,14.0,30.0,13,42,0.3181818181818182,0.10589061526327581,0.1907627520029088,0.46125330573403245,0.27049055373112363,0.0,0.1012396694214876,0.3829922522561057,0.7105362538388942,0.5448927686122769,0.8046298563073725,0.037708797081457635,0.25,0.06818181818181818,0.25,0.2777777777777778,0.3888888888888889,0.1111111111111111,1,0,0,0,0,1,60,18
