item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,p_est,p_error,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_train,n_test
1,A1,A1,exact,0.9273956048555962,122.0,13.0,0.9037037037037037,-0.02369190115189257,0.9722942170164713,0.944588437735848,0.12667454514253804,0.02260439514440371,0.95,0.04629629629629628,0.95,0.8596491228070176,0.9298245614035088,0.07017543859649122,0,0,0,0,0,0,190,133,57
2,A2,A2,exact,0.7658317659628078,108.0,27.0,0.8,0.03416823403719227,0.9313994088649901,0.866560187530161,0.26458150256517254,0.06583176596280782,0.7,0.04999999999999993,0.85,0.7368421052631579,0.8245614035087719,0.08771929824561409,0,0,0,0,0,0,190,133,57
5,C1,C1,exact,0.3787896879867074,53.0,82.0,0.3925925925925926,0.01380290460588518,0.5744813143647749,0.1492286052048738,0.6844220144587859,0.021210312013292598,0.4,0.007407407407407418,0.4,0.3508771929824561,0.45614035087719296,0.10526315789473684,1,1,0,0,0,1,190,133,57
6,C2,C2,exact,0.20460520435890459,28.0,107.0,0.2074074074074074,0.002802203048502816,0.8859693572286177,0.7719394894476931,0.35487026333344474,0.045394795641095415,0.25,0.0425925925925926,0.25,0.15789473684210525,0.2631578947368421,0.10526315789473684,0,0,0,0,0,0,190,133,57
8,A1,A1,exact,0.8594177347887649,117.0,18.0,0.8666666666666667,0.007248931877901765,0.7295282233546259,0.4590584812773574,0.5837535531630912,0.009417734788764953,0.85,0.01666666666666672,0.85,0.9298245614035088,0.8070175438596491,-0.1228070175438597,0,0,0,1,1,1,190,133,57
10,A2,A1,adjacent,0.8463433527455133,117.0,18.0,0.8666666666666667,0.020323313921153385,0.7295282233546259,0.4590584812773574,0.5837535531630912,0.003656647254486667,0.85,0.01666666666666672,0.85,0.7368421052631579,0.8771929824561403,0.14035087719298245,0,0,0,1,0,1,190,133,57
11,B1,B1,exact,0.664170955298553,91.0,44.0,0.674074074074074,0.00990311877552108,0.7339534300484879,0.46947431864785705,0.5888993245108685,0.03582904470144699,0.7,0.025925925925925908,0.7,0.6140350877192983,0.5964912280701754,-0.01754385964912286,0,0,0,0,1,1,190,133,57
12,B1,A2,adjacent,0.667909645791543,102.0,33.0,0.7555555555555555,0.08764590976401254,0.9265243357845808,0.8554200481058944,0.27301604125002854,0.03209035420845696,0.7,0.05555555555555558,0.7,0.6491228070175439,0.6842105263157895,0.03508771929824561,0,0,0,0,1,1,190,133,57
13,B2,C1,adjacent,0.4192170449013319,53.0,82.0,0.3925925925925926,-0.026624452308739277,0.5744813143647749,0.1492286052048738,0.6844220144587859,0.01921704490133186,0.4,0.007407407407407418,0.4,0.3157894736842105,0.49122807017543857,0.17543859649122806,1,1,0,0,0,1,190,133,57
14,B2,B2,exact,0.4675578906843351,71.0,64.0,0.5259259259259259,0.05836803524159079,0.7097896064890697,0.421183952609651,0.6123507008060725,0.0675578906843351,0.4,0.024074074074074137,0.55,0.47368421052631576,0.5614035087719298,0.08771929824561403,1,0,0,0,0,1,190,133,57
15,C1,C1,exact,0.3056197036348872,40.0,95.0,0.2962962962962963,-0.009323407338590939,0.8774069776053177,0.7605641276104487,0.39526640426233606,0.05561970363488722,0.25,0.04629629629629628,0.25,0.3684210526315789,0.3157894736842105,-0.05263157894736842,0,0,0,0,1,1,190,133,57
16,C1,C1,exact,0.3890147483272903,53.0,82.0,0.3925925925925926,0.003577844265302277,0.5744813143647749,0.1492286052048738,0.6844220144587859,0.010985251672709695,0.4,0.007407407407407418,0.4,0.38596491228070173,0.49122807017543857,0.10526315789473684,1,1,0,0,0,1,190,133,57
17,C2,C2,exact,0.1965797680120997,18.0,117.0,0.13333333333333333,-0.06324643467876637,0.9996158580410772,0.9992317160860275,0.003405152145115583,0.0534202319879003,0.25,0.033333333333333326,0.1,0.19298245614035087,0.19298245614035087,0.0,0,0,0,0,1,1,190,133,57
18,C2,C2,exact,0.22341424199062448,29.0,106.0,0.21481481481481482,-0.008599427175809665,0.8408033326797749,0.68160869284681,0.4383602460718616,0.026585758009375515,0.25,0.03518518518518518,0.25,0.15789473684210525,0.2631578947368421,0.10526315789473684,0,0,0,0,0,0,190,133,57
194998,C2,C2,exact,0.16651212982409969,22.0,113.0,0.16296296296296298,-0.00354916686113671,0.9935677290331654,0.9871354589787278,0.03887154466591789,0.06651212982409968,0.1,0.06296296296296297,0.1,0.15789473684210525,0.14035087719298245,-0.017543859649122806,0,0,0,0,1,1,190,133,57
194999,C2,C2,exact,0.13408580826771654,21.0,114.0,0.15555555555555556,0.021469747287839014,0.9965986110788092,0.993197222407655,0.02272763894717905,0.03408580826771654,0.1,0.05555555555555555,0.1,0.08771929824561403,0.14035087719298245,0.05263157894736842,0,0,0,0,0,0,190,133,57
195000,B1,A2,adjacent,0.6331877180523752,100.0,35.0,0.7407407407407407,0.10755302268836553,0.8586463153720518,0.7178799118871326,0.4112337242588353,0.06681228194762479,0.7,0.040740740740740744,0.7,0.543859649122807,0.5087719298245614,-0.03508771929824561,0,0,0,0,1,1,190,133,57
195001,A2,A2,exact,0.7095725884156262,98.0,37.0,0.725925925925926,0.01635333751029977,0.755023199698494,0.5101833721392565,0.5579519470823765,0.009572588415626249,0.7,0.02592592592592602,0.7,0.6666666666666666,0.7719298245614035,0.10526315789473684,0,0,0,1,0,1,190,133,57
195002,A1,A1,exact,0.9327631171992582,125.0,10.0,0.9259259259259259,-0.006837191273332266,0.9968622074121348,0.9937244148586649,0.021219841439050584,0.01723688280074176,0.95,0.024074074074074026,0.95,0.9649122807017544,0.9122807017543859,-0.052631578947368474,0,0,0,0,1,1,190,133,57
195003,C1,C1,exact,0.34474965986830974,43.0,92.0,0.31851851851851853,-0.02623114134979121,0.937172103584788,0.8982892956803923,0.27643520151400625,0.05525034013169028,0.4,0.06851851851851853,0.25,0.22807017543859648,0.38596491228070173,0.15789473684210525,0,0,0,0,0,0,190,133,57
195004,A2,A2,exact,0.8137131610128061,107.0,28.0,0.7925925925925926,-0.02112056842021348,0.9521436199312644,0.9110797181726418,0.21170188564420145,0.03628683898719387,0.85,0.05740740740740735,0.85,0.7894736842105263,0.8070175438596491,0.01754385964912275,0,0,0,0,1,1,190,133,57
195005,A2,A2,exact,0.7531788952194802,106.0,29.0,0.7851851851851852,0.03200628996570498,0.9632127629711201,0.9381822176810789,0.1806452027804057,0.05317889521948027,0.7,0.06481481481481477,0.85,0.8596491228070176,0.7543859649122807,-0.10526315789473684,0,0,0,0,1,1,190,133,57
195006,B2,B1,adjacent,0.5456047036592355,84.0,51.0,0.6222222222222222,0.07661751856298671,0.9283789925287398,0.8846880536606816,0.30570873163660944,0.004395296340764521,0.55,0.07222222222222219,0.55,0.47368421052631576,0.5614035087719298,0.08771929824561403,0,0,0,1,0,1,190,133,57
195007,A1,A1,exact,0.9393121121322198,122.0,13.0,0.9037037037037037,-0.03560840842851609,0.9722942170164713,0.944588437735848,0.12667454514253804,0.010687887867780188,0.95,0.04629629629629628,0.95,0.9298245614035088,0.9824561403508771,0.05263157894736836,0,0,0,0,0,0,190,133,57
195008,C2,C2,exact,0.21675752456106429,29.0,106.0,0.21481481481481482,-0.0019427097462494658,0.8408033326797749,0.68160869284681,0.4383602460718616,0.033242475438935715,0.25,0.03518518518518518,0.25,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0,0,0,0,1,1,190,133,57
195009,A1,A2,adjacent,0.8694638707851967,114.0,21.0,0.8444444444444444,-0.02501942634075227,0.5496139755221454,0.0992684359089055,0.6886336543532506,0.019463870785196735,0.85,0.005555555555555536,0.85,0.8421052631578947,0.9122807017543859,0.07017543859649122,1,1,1,0,0,1,190,133,57
195010,A2,A2,exact,0.7700081505590551,110.0,25.0,0.8148148148148148,0.04480666425575963,0.8549430178285169,0.7108951527599203,0.42005716928704184,0.07000815055905518,0.7,0.03518518518518521,0.85,0.6491228070175439,0.7719298245614035,0.12280701754385959,0,0,0,0,0,0,190,133,57
195011,B1,B1,exact,0.5565705648680843,79.0,56.0,0.5851851851851851,0.028614620317100825,0.7949509317527506,0.5923781325535953,0.5207702352818718,0.006570564868084272,0.55,0.0351851851851851,0.55,0.5614035087719298,0.5087719298245614,-0.05263157894736836,0,0,0,1,1,1,190,133,57
195012,A1,A1,exact,0.8654289492067547,117.0,18.0,0.8666666666666667,0.001237717459911969,0.7295282233546259,0.4590584812773574,0.5837535531630912,0.01542894920675475,0.85,0.01666666666666672,0.85,0.9298245614035088,0.8245614035087719,-0.10526315789473684,0,0,0,0,1,1,190,133,57
195013,A2,A2,exact,0.8024573429863682,108.0,27.0,0.8,-0.0024573429863681273,0.9313994088649901,0.866560187530161,0.26458150256517254,0.047542657013631806,0.85,0.04999999999999993,0.85,0.6491228070175439,0.8070175438596491,0.1578947368421052,0,0,0,0,0,0,190,133,57
195014,C1,C1,exact,0.3617143233861726,42.0,93.0,0.3111111111111111,-0.05060321227506148,0.9268648567284623,0.8690948221070283,0.2992714766184499,0.038285676613827424,0.4,0.061111111111111116,0.25,0.21052631578947367,0.40350877192982454,0.19298245614035087,0,0,0,0,0,0,190,133,57
195015,C2,C1,adjacent,0.2451264598651315,39.0,96.0,0.28888888888888886,0.04376242902375735,0.8375135164410116,0.6783755051802616,0.4600829413915184,0.004873540134868487,0.25,0.03888888888888886,0.25,0.2982456140350877,0.3333333333333333,0.03508771929824561,0,0,0,1,1,1,190,133,57
195016,A2,A2,exact,0.7488738037207228,104.0,31.0,0.7703703703703704,0.021496566649647608,0.9605013419678878,0.9293035623482955,0.18665690063418014,0.04887380372072281,0.7,0.07037037037037042,0.7,0.6491228070175439,0.7543859649122807,0.10526315789473684,0,0,0,0,0,0,190,133,57
