item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,p_est,p_error,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_train,n_test
2,A1,A1,exact,0.8938878439752052,114.0,13.0,0.8976377952755905,0.003749951300385357,0.9502756806919868,0.9005513914476301,0.19770317759650827,0.043887843975205176,0.85,0.04763779527559053,0.85,0.9272727272727272,0.9272727272727272,0.0,0,0,0,0,1,1,180,125,55
3,A1,A1,exact,0.9358597919911382,121.0,6.0,0.952755905511811,0.016896113520672773,0.9998260270650847,0.9996520541304699,0.001679973902971381,0.014140208008861732,0.95,0.002755905511811041,0.95,0.9272727272727272,0.9454545454545454,0.018181818181818188,0,0,0,0,1,1,180,125,55
5,A1,A1,exact,0.8594177347887649,110.0,17.0,0.8661417322834646,0.006723997494699652,0.7188386415862902,0.43768144599269343,0.5940972890579016,0.009417734788764953,0.85,0.016141732283464605,0.85,0.9272727272727272,0.8363636363636363,-0.09090909090909094,0,0,0,1,1,1,180,125,55
6,A1,A1,exact,0.9475622351636755,123.0,4.0,0.968503937007874,0.020941701844198413,0.9999780733801419,0.9999561467602905,0.00025715108685565576,0.0024377648363244075,0.95,0.018503937007874005,0.95,0.9272727272727272,0.9636363636363636,0.036363636363636376,0,0,0,1,1,1,180,125,55
7,A1,A1,exact,0.9261139701990353,118.0,9.0,0.9291338582677166,0.0030198880686812535,0.9971398565252608,0.9942797131130442,0.019607577705004868,0.02388602980096466,0.95,0.020866141732283405,0.95,0.9090909090909091,0.9272727272727272,0.018181818181818188,0,0,0,0,1,1,180,125,55
8,A1,A1,exact,0.9286064305276953,121.0,6.0,0.952755905511811,0.024149474984115682,0.9998260270650847,0.9996520541304699,0.001679973902971381,0.02139356947230464,0.95,0.002755905511811041,0.95,0.9454545454545454,0.9636363636363636,0.018181818181818188,0,0,0,0,1,1,180,125,55
9,A1,A1,exact,0.8628113632675546,108.0,19.0,0.8503937007874016,-0.012417662480152969,0.5281406956647476,0.056313545548059285,0.6919031831762502,0.01281136326755461,0.85,0.0003937007874016407,0.85,0.8,0.9090909090909091,0.10909090909090902,1,1,1,0,0,1,180,125,55
12,A1,A1,exact,0.9426764988848602,123.0,4.0,0.968503937007874,0.0258274381230138,0.9999780733801419,0.9999561467602905,0.00025715108685565576,0.007323501115139797,0.95,0.018503937007874005,0.95,0.8909090909090909,0.9636363636363636,0.07272727272727275,0,0,0,1,0,1,180,125,55
13,A1,A1,exact,0.9143865120080664,119.0,8.0,0.937007874015748,0.02262136200768161,0.9988158063268788,0.9976316126649062,0.009163410371513374,0.035613487991933535,0.95,0.012992125984251923,0.95,0.9272727272727272,0.9090909090909091,-0.018181818181818188,0,0,0,0,1,1,180,125,55
14,A1,A1,exact,0.9322761613270829,120.0,7.0,0.9448818897637795,0.012605728436696606,0.9995355604547743,0.9990711209114246,0.004028756298570705,0.017723838672917047,0.95,0.005118110236220441,0.95,0.9454545454545454,0.9454545454545454,0.0,0,0,0,0,1,1,180,125,55
15,A1,A1,exact,0.8943414198827331,114.0,13.0,0.8976377952755905,0.0032963753928574313,0.9502756806919868,0.9005513914476301,0.19770317759650827,0.0443414198827331,0.85,0.04763779527559053,0.85,0.8909090909090909,0.8909090909090909,0.0,0,0,0,0,1,1,180,125,55
16,A1,A2,adjacent,0.8727238721784777,107.0,20.0,0.84251968503937,-0.030204187139107663,0.5706132365650078,0.1413078505338583,0.6839201616717496,0.02272387217847771,0.85,0.007480314960629952,0.85,0.8181818181818182,0.9272727272727272,0.10909090909090902,1,1,0,0,0,1,180,125,55
17,A1,A1,exact,0.9054584787015835,117.0,10.0,0.9212598425196851,0.0158013638181016,0.993507134138289,0.9870142686047216,0.03917664556555298,0.04454152129841649,0.95,0.028740157480314887,0.95,0.8909090909090909,0.8727272727272727,-0.018181818181818188,0,0,0,0,1,1,180,125,55
18,A1,A2,adjacent,0.8563817256104175,101.0,26.0,0.7952755905511811,-0.061106135059236344,0.938980863477596,0.8847598173436568,0.2510858225542994,0.006381725610417499,0.85,0.054724409448818845,0.85,0.8363636363636363,0.8545454545454545,0.018181818181818188,0,0,0,1,1,1,180,125,55
19,A1,A1,exact,0.9327631171992582,118.0,9.0,0.9291338582677166,-0.0036292589315416457,0.9971398565252608,0.9942797131130442,0.019607577705004868,0.01723688280074176,0.95,0.020866141732283405,0.95,0.9454545454545454,0.9090909090909091,-0.036363636363636376,0,0,0,0,1,1,180,125,55
21,A1,A1,exact,0.9258087740085373,118.0,9.0,0.9291338582677166,0.003325084259179212,0.9971398565252608,0.9942797131130442,0.019607577705004868,0.024191225991462617,0.95,0.020866141732283405,0.95,0.9090909090909091,0.8727272727272727,-0.036363636363636376,0,0,0,0,1,1,180,125,55
22,A1,A1,exact,0.8854525968129868,116.0,11.0,0.9133858267716536,0.02793322995866676,0.9862342587838404,0.9724685191682295,0.07266466202965727,0.03545259681298685,0.85,0.03661417322834637,0.95,1.0,0.9454545454545454,-0.054545454545454564,0,0,0,0,1,1,180,125,55
23,A1,A1,exact,0.9470698024394902,118.0,9.0,0.9291338582677166,-0.017935944171773688,0.9971398565252608,0.9942797131130442,0.019607577705004868,0.0029301975605097175,0.95,0.020866141732283405,0.95,0.9454545454545454,0.9818181818181818,0.036363636363636376,0,0,0,1,1,1,180,125,55
24,A1,A1,exact,0.9393121121322198,114.0,13.0,0.8976377952755905,-0.04167431685662926,0.9502756806919868,0.9005513914476301,0.19770317759650827,0.010687887867780188,0.95,0.04763779527559053,0.85,0.9636363636363636,0.9818181818181818,0.018181818181818188,0,0,0,0,1,1,180,125,55
25,A1,A1,exact,0.9278383497073761,117.0,10.0,0.9212598425196851,-0.006578507187691041,0.993507134138289,0.9870142686047216,0.03917664556555298,0.022161650292623847,0.95,0.028740157480314887,0.95,0.9454545454545454,0.9272727272727272,-0.018181818181818188,0,0,0,0,1,1,180,125,55
26,A1,A2,adjacent,0.8694638707851967,106.0,21.0,0.8346456692913385,-0.03481820149385817,0.6638157759392062,0.3278257912528334,0.6401144889636361,0.019463870785196735,0.85,0.015354330708661434,0.85,0.8727272727272727,0.8909090909090909,0.018181818181818188,1,0,0,0,1,1,180,125,55
28,A1,A2,adjacent,0.8543803765787229,105.0,22.0,0.8267716535433071,-0.02760872303541584,0.7466940011803777,0.49382639233084263,0.5691639346874232,0.004380376578722922,0.85,0.023228346456692917,0.85,0.7818181818181819,0.7818181818181819,0.0,0,0,0,1,1,1,180,125,55
29,A1,A1,exact,0.8654289492067547,111.0,16.0,0.8740157480314961,0.008586798824741337,0.7995282243114861,0.5990578038411913,0.5010732368336741,0.01542894920675475,0.85,0.024015748031496087,0.85,0.9272727272727272,0.8363636363636363,-0.09090909090909094,0,0,0,0,1,1,180,125,55
30,A1,A1,exact,0.9183048953242454,114.0,13.0,0.8976377952755905,-0.020667100048654907,0.9502756806919868,0.9005513914476301,0.19770317759650827,0.03169510467575454,0.95,0.04763779527559053,0.85,0.8363636363636363,0.8727272727272727,0.036363636363636376,0,0,0,0,1,1,180,125,55
32,A2,A2,exact,0.8451264598651315,102.0,25.0,0.8031496062992126,-0.04197685356591885,0.9116306447773372,0.8269468817790356,0.31406591510378384,0.004873540134868515,0.85,0.04685039370078736,0.85,0.8545454545454545,0.8545454545454545,0.0,0,0,0,1,1,1,180,125,55
34,A2,A2,exact,0.7555689559052303,102.0,25.0,0.8031496062992126,0.04758065039398229,0.9116306447773372,0.8269468817790356,0.31406591510378384,0.055568955905230366,0.7,0.04685039370078736,0.85,0.6909090909090909,0.6727272727272727,-0.018181818181818188,0,0,0,0,1,1,180,125,55
35,A2,A1,adjacent,0.7704333716913712,109.0,18.0,0.8582677165354331,0.08783434484406194,0.6266624447296555,0.2533368379460906,0.6608437301905534,0.0704333716913712,0.7,0.008267716535433123,0.85,0.6909090909090909,0.8727272727272727,0.18181818181818177,1,0,0,0,0,1,180,125,55
36,A2,A2,exact,0.7284207038626428,100.0,27.0,0.7874015748031497,0.05898087094050686,0.9546818809345511,0.9213436486616777,0.21066585462284515,0.028420703862642838,0.7,0.06259842519685033,0.85,0.8,0.7818181818181819,-0.018181818181818188,0,0,0,0,1,1,180,125,55
38,A2,A2,exact,0.7713557389338901,106.0,21.0,0.8346456692913385,0.06328993035744845,0.6638157759392062,0.3278257912528334,0.6401144889636361,0.07135573893389013,0.7,0.015354330708661434,0.85,0.7636363636363637,0.7636363636363637,0.0,1,0,0,0,1,1,180,125,55
39,A2,A2,exact,0.7340364023576326,90.0,37.0,0.7086614173228346,-0.02537498503479796,0.5949365129514905,0.19001659174298352,0.6763691370941871,0.03403640235763261,0.7,0.008661417322834652,0.7,0.7636363636363637,0.7272727272727273,-0.036363636363636376,1,1,0,0,1,1,180,125,55
43,A2,A2,exact,0.8050397653003374,99.0,28.0,0.7795275590551181,-0.025512206245219327,0.9601057054592946,0.9399007745299978,0.19525777625986487,0.04496023469966259,0.85,0.07047244094488192,0.85,0.7636363636363637,0.7818181818181819,0.018181818181818188,0,0,0,0,1,1,180,125,55
45,A2,A2,exact,0.8248389702092801,101.0,26.0,0.7952755905511811,-0.029563379658098965,0.938980863477596,0.8847598173436568,0.2510858225542994,0.02516102979071988,0.85,0.054724409448818845,0.85,0.8545454545454545,0.8909090909090909,0.036363636363636376,0,0,0,0,1,1,180,125,55
46,A2,A2,exact,0.8207146536245202,100.0,27.0,0.7874015748031497,-0.03331307882137058,0.9546818809345511,0.9213436486616777,0.21066585462284515,0.02928534637547975,0.85,0.06259842519685033,0.85,0.8545454545454545,0.7090909090909091,-0.1454545454545454,0,0,0,0,1,1,180,125,55
48,A2,B1,adjacent,0.7432492155895366,86.0,41.0,0.6771653543307087,-0.06608386125882793,0.7017016368301664,0.4050498292608663,0.6196244244263925,0.04324921558953665,0.7,0.022834645669291276,0.7,0.7272727272727273,0.7272727272727273,0.0,1,0,0,0,1,1,180,125,55
49,A2,A1,adjacent,0.8023743255962463,110.0,17.0,0.8661417322834646,0.06376740668721825,0.7188386415862902,0.43768144599269343,0.5940972890579016,0.04762567440375365,0.85,0.016141732283464605,0.85,0.8363636363636363,0.8,-0.036363636363636265,0,0,0,0,1,1,180,125,55
50,A2,B1,adjacent,0.7209628725413965,86.0,41.0,0.6771653543307087,-0.04379751821068778,0.7017016368301664,0.4050498292608663,0.6196244244263925,0.020962872541396504,0.7,0.022834645669291276,0.7,0.7272727272727273,0.6909090909090909,-0.036363636363636376,1,0,0,0,1,1,180,125,55
