item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
22,A1,A1,exact,0.8854525968129868,98.0,9.0,97,105,0.9158878504672897,0.030435253654302885,0.8566988670458953,0.9604387595874767,0.10373989254158145,0.9555555555555556,0.04404266262943878,0.1939832625173055,0.9824046927161859,0.9648094028892902,0.08852705917098669,0.03545259681298685,0.85,0.034112149532710245,0.95,0.9555555555555556,0.9333333333333333,-0.022222222222222254,0,0,0,0,1,1,150,45
23,A1,A1,exact,0.9470698024394902,100.0,7.0,99,105,0.9345794392523364,-0.012490363187153797,0.8808622861377607,0.9730392292120384,0.0921769430742777,0.8888888888888888,0.10085305849128018,0.3631319859107901,0.9965660989351982,0.993132198516252,0.022912164132224397,0.0029301975605097175,0.95,0.015420560747663514,0.95,0.9333333333333333,1.0,0.06666666666666665,0,0,0,1,0,1,150,45
24,A1,A1,exact,0.9393121121322198,96.0,11.0,95,105,0.897196261682243,-0.04211585044997679,0.8333436185458364,0.9470467497787698,0.11370313123293341,0.9555555555555556,0.04587494298386077,0.20476743937937963,0.9339856284460748,0.8679715929987304,0.24320958572554058,0.010687887867780188,0.95,0.047196261682243,0.85,0.9111111111111111,0.9555555555555556,0.04444444444444451,0,0,0,0,1,1,150,45
25,A1,A1,exact,0.9278383497073761,99.0,8.0,98,105,0.9252336448598131,-0.002604704847563033,0.8686624904652085,0.9668541894615922,0.09819169899638369,0.8888888888888888,0.1000863733853515,0.35722879637784444,0.9919421463538258,0.9838842961987404,0.04687313943946473,0.022161650292623847,0.95,0.02476635514018688,0.95,0.9333333333333333,0.9555555555555556,0.022222222222222254,0,0,0,0,1,1,150,45
26,A1,A2,adjacent,0.8694638707851967,89.0,18.0,88,105,0.8317757009345794,-0.03768816985061729,0.7556835156941205,0.8961408508876201,0.14045733519349957,0.9111111111111111,0.0872817616288662,0.3262604302262975,0.6767808140769429,0.354273184650991,0.6343367471804641,0.019463870785196735,0.85,0.018224299065420557,0.85,0.9111111111111111,0.8888888888888888,-0.022222222222222254,1,0,0,0,1,1,150,45
28,A1,A2,adjacent,0.8543803765787229,88.0,19.0,87,105,0.822429906542056,-0.031950470036666845,0.744966607558923,0.8884940922158202,0.14352748465689724,0.9333333333333333,0.07452179229627046,0.29768520900448414,0.7636356434408682,0.5288567315588408,0.5563673411776475,0.004380376578722922,0.85,0.027570093457943923,0.85,0.8,0.8222222222222222,0.022222222222222143,0,0,0,1,1,1,150,45
29,A1,A1,exact,0.8654289492067547,94.0,13.0,93,105,0.8785046728971962,0.01307572369044152,0.8105977521801339,0.9330541122468071,0.12245636006667326,0.8666666666666667,0.11569569394706962,0.3933134421663646,0.8210401707262971,0.6420848462037178,0.4698647649733136,0.01542894920675475,0.85,0.02850467289719627,0.85,0.8666666666666667,0.8444444444444444,-0.022222222222222254,0,0,0,0,1,1,150,45
30,A1,A1,exact,0.9183048953242454,95.0,12.0,94,105,0.8878504672897196,-0.030454428034525804,0.8219034620677531,0.9401168416674883,0.11821337959973521,0.9555555555555556,0.047053114779553776,0.2109061758308116,0.8869443174925665,0.7738899218049738,0.35287260747732985,0.03169510467575454,0.95,0.037850467289719636,0.85,0.8888888888888888,0.9333333333333333,0.04444444444444451,0,0,0,0,1,1,150,45
32,A2,A2,exact,0.8451264598651315,88.0,19.0,87,105,0.822429906542056,-0.022696553323075408,0.744966607558923,0.8884940922158202,0.14352748465689724,0.7777777777777778,0.17483331877602118,0.5361359833863144,0.7636356434408682,0.5288567315588408,0.5563673411776475,0.004873540134868515,0.85,0.027570093457943923,0.85,0.8444444444444444,0.8,-0.0444444444444444,0,0,0,1,1,1,150,45
33,A2,A2,exact,0.7488738037207228,81.0,26.0,80,105,0.7570093457943925,0.008135542073669733,0.6718297969245002,0.8330936091544645,0.16126381222996433,0.7555555555555555,0.1846934715307499,0.5561547638597013,0.9044101672121004,0.8156253016345819,0.33985531952229464,0.04887380372072281,0.7,0.05700934579439254,0.7,0.8,0.7777777777777778,-0.022222222222222254,0,0,0,0,1,1,150,45
