item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
1,A1,A1,exact,0.9273956048555962,45.0,6.0,44,49,0.8823529411764706,-0.04504266367912568,0.7818646335657977,0.9546646792263361,0.17280004566053841,0.9523809523809523,0.05025539627615752,0.2211109058369709,0.7720350200815514,0.544821280883683,0.5418501582373089,0.02260439514440371,0.95,0.032352941176470584,0.85,0.9523809523809523,0.9523809523809523,0.0,0,0,0,0,1,1,70,21
2,A1,A1,exact,0.8938878439752052,46.0,5.0,45,49,0.9019607843137255,0.008072940338520351,0.8076572164040372,0.9667249064109775,0.15906769000694032,0.9523809523809523,0.04789366727082991,0.20886059261880197,0.8749360660444734,0.7500639333046365,0.37832924266044876,0.043887843975205176,0.85,0.04803921568627445,0.95,0.9047619047619048,0.9047619047619048,0.0,0,0,0,0,1,1,70,21
3,A1,A1,exact,0.9358597919911382,47.0,4.0,46,49,0.9215686274509803,-0.014291164540157886,0.8345180533962271,0.9777720363450703,0.14325398294884317,0.9523809523809523,0.04630087329049266,0.19900437580427516,0.9394449016094355,0.8789321458354511,0.2288421580583421,0.014140208008861732,0.95,0.028431372549019618,0.95,0.9523809523809523,0.9047619047619048,-0.04761904761904756,0,0,0,0,1,1,70,21
4,A1,A1,exact,0.9197368029059363,45.0,6.0,44,49,0.8823529411764706,-0.03738386172946573,0.7818646335657977,0.9546646792263361,0.17280004566053841,0.9047619047619048,0.08666996210248805,0.31705866871993593,0.7720350200815514,0.544821280883683,0.5418501582373089,0.030263197094063665,0.95,0.032352941176470584,0.85,1.0,1.0,0.0,0,0,0,0,1,1,70,21
5,A1,A2,adjacent,0.8594177347887649,43.0,8.0,42,49,0.8431372549019608,-0.016280479886804144,0.7326039975029917,0.9282992328167138,0.19569523531372213,0.9047619047619048,0.08996539792387544,0.3307930002701659,0.5131239608789848,0.03353535967887694,0.7306836645358911,0.009417734788764953,0.85,0.006862745098039191,0.85,0.7619047619047619,0.9047619047619048,0.1428571428571429,1,1,1,1,0,1,70,21
6,A1,A1,exact,0.9475622351636755,49.0,2.0,48,49,0.9607843137254902,0.013222078561814676,0.8935304542885001,0.9951185665738356,0.10158811228533549,1.0,0.0015378700499807743,0.04000533461369914,0.9896022808832122,0.9792060053032214,0.057835480790696066,0.0024377648363244075,0.95,0.010784313725490269,0.95,0.9047619047619048,1.0,0.09523809523809523,0,0,0,1,0,1,70,21
7,A1,A1,exact,0.9261139701990353,46.0,5.0,45,49,0.9019607843137255,-0.02415318588530979,0.8076572164040372,0.9667249064109775,0.15906769000694032,0.9047619047619048,0.08617564672927994,0.31453694900237317,0.8749360660444734,0.7500639333046365,0.37832924266044876,0.02388602980096466,0.95,0.04803921568627445,0.95,1.0,0.9523809523809523,-0.04761904761904767,0,0,0,0,1,1,70,21
8,A1,A1,exact,0.9286064305276953,47.0,4.0,46,49,0.9215686274509803,-0.007037803076714977,0.8345180533962271,0.9777720363450703,0.14325398294884317,1.0,0.006151480199923116,0.08167803101426725,0.9394449016094355,0.8789321458354511,0.2288421580583421,0.02139356947230464,0.95,0.028431372549019618,0.95,0.9523809523809523,1.0,0.04761904761904767,0,0,0,0,1,1,70,21
9,A1,A2,adjacent,0.8628113632675546,39.0,12.0,38,49,0.7647058823529411,-0.09810548091461346,0.6403881114342106,0.8693900838025427,0.22900197236833209,0.8571428571428571,0.1309935739001483,0.436643271786343,0.7981558361608437,0.6597487375624451,0.6321254013524017,0.01281136326755461,0.85,0.06470588235294117,0.7,0.8095238095238095,0.8095238095238095,0.0,1,0,0,0,1,1,70,21
10,A1,A2,adjacent,0.8950385937895566,42.0,9.0,41,49,0.8235294117647058,-0.07150918202485079,0.7088736934048894,0.9142379218903364,0.205364228485447,1.0,0.031141868512110742,0.19415601444095748,0.6503390242775569,0.31894520500387524,0.7190573357246678,0.04503859378955666,0.85,0.026470588235294135,0.85,0.9523809523809523,0.8571428571428571,-0.09523809523809523,1,0,0,0,1,1,70,21
