item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,p_est,p_error,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_train,n_test
33,A2,A2,exact,0.7488738037207228,86.0,28.0,0.7543859649122807,0.005512161191557952,0.9030698827437513,0.8105495930191682,0.33624277463145374,0.04887380372072281,0.7,0.05438596491228076,0.7,0.7708333333333334,0.7708333333333334,0.0,0,0,0,0,1,1,160,112,48
34,A2,A2,exact,0.7555689559052303,90.0,24.0,0.7894736842105263,0.033904728305296006,0.9390240073095357,0.8921209978932746,0.26258653110253743,0.055568955905230366,0.7,0.06052631578947365,0.85,0.6875,0.6875,0.0,0,0,0,0,1,1,160,112,48
35,A2,A1,adjacent,0.7704333716913712,97.0,17.0,0.8508771929824561,0.08044382129108496,0.5349601044847753,0.06999120753155114,0.6913956402642377,0.0704333716913712,0.7,0.0008771929824561431,0.85,0.6666666666666666,0.8541666666666666,0.1875,1,1,1,0,0,1,160,112,48
36,A2,A2,exact,0.7284207038626428,91.0,23.0,0.7982456140350878,0.06982491017244497,0.916318728766527,0.8404483504741462,0.3136276270988299,0.028420703862642838,0.7,0.05175438596491222,0.85,0.7708333333333334,0.8125,0.04166666666666663,0,0,0,0,1,1,160,112,48
37,A2,A2,exact,0.7194882258003207,83.0,31.0,0.7280701754385965,0.008581949638275854,0.7546232161646353,0.509764398522687,0.5610508471498087,0.019488225800320724,0.7,0.02807017543859658,0.7,0.6458333333333334,0.6875,0.04166666666666663,0,0,0,0,1,1,160,112,48
38,A2,A2,exact,0.7713557389338901,94.0,20.0,0.8245614035087719,0.05320566457488185,0.7535146752481608,0.5080009204008968,0.5647892419343585,0.07135573893389013,0.7,0.025438596491228038,0.85,0.7291666666666666,0.7916666666666666,0.0625,0,0,0,0,0,0,160,112,48
39,A2,B1,adjacent,0.7340364023576326,79.0,35.0,0.6929824561403509,-0.041053946217281645,0.5534838040458545,0.10782371456275608,0.693697853241748,0.03403640235763261,0.7,0.007017543859649034,0.7,0.7708333333333334,0.7083333333333334,-0.0625,1,1,0,0,1,1,160,112,48
40,A2,A2,exact,0.8004720992023765,83.0,31.0,0.7280701754385965,-0.07240192376377996,0.7546232161646353,0.509764398522687,0.5610508471498087,0.04952790079762348,0.85,0.02807017543859658,0.7,0.7083333333333334,0.7708333333333334,0.0625,0,0,0,0,0,0,160,112,48
41,A2,A2,exact,0.7655727878308496,91.0,23.0,0.7982456140350878,0.03267282620423817,0.916318728766527,0.8404483504741462,0.3136276270988299,0.06557278783084963,0.7,0.05175438596491222,0.85,0.6666666666666666,0.6875,0.02083333333333337,0,0,0,0,1,1,160,112,48
42,A2,A2,exact,0.8249017294086756,95.0,19.0,0.8333333333333334,0.008431603924657805,0.6673232827714347,0.3350791392319484,0.6393648869370118,0.025098270591324412,0.85,0.016666666666666607,0.85,0.8333333333333334,0.8958333333333334,0.0625,1,0,0,0,0,1,160,112,48
43,A2,A2,exact,0.8050397653003374,90.0,24.0,0.7894736842105263,-0.015566081089811057,0.9390240073095357,0.8921209978932746,0.26258653110253743,0.04496023469966259,0.85,0.06052631578947365,0.85,0.7916666666666666,0.8333333333333334,0.04166666666666674,0,0,0,0,1,1,160,112,48
44,A2,A2,exact,0.7468549962073061,89.0,25.0,0.7807017543859649,0.03384675817865879,0.9481295187247412,0.9203960945266665,0.23981703106690463,0.046854996207306154,0.7,0.06929824561403508,0.85,0.6458333333333334,0.8125,0.16666666666666663,0,0,0,0,0,0,160,112,48
45,A2,A2,exact,0.8248389702092801,90.0,24.0,0.7894736842105263,-0.03536528599875377,0.9390240073095357,0.8921209978932746,0.26258653110253743,0.02516102979071988,0.85,0.06052631578947365,0.85,0.7916666666666666,0.8958333333333334,0.10416666666666674,0,0,0,0,0,0,160,112,48
