item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
15,C1,C1,exact,0.3056197036348872,35.0,58.0,34,91,0.3763440860215054,0.07072438238661816,0.28117655017950133,0.47655071672501487,0.19537416654551354,0.1282051282051282,0.17334151569323272,0.536912245306453,0.6818412129448971,0.3679125121359758,0.6492207789627141,0.05561970363488722,0.25,0.023655913978494647,0.4,0.2564102564102564,0.28205128205128205,0.02564102564102566,1,0,0,0,1,1,130,39
16,C1,C1,exact,0.3890147483272903,31.0,62.0,30,91,0.3333333333333333,-0.05568141499395701,0.24169662240289516,0.431760560247616,0.19006393784472084,0.48717948717948717,0.2735042735042735,0.7431521960732659,0.8725867468119664,0.7837129949037954,0.4596486850661458,0.010985251672709695,0.4,0.06666666666666671,0.4,0.3333333333333333,0.5384615384615384,0.20512820512820512,0,0,0,0,0,0,130,39
17,C2,C2,exact,0.1965797680120997,14.0,79.0,13,91,0.15053763440860216,-0.04604213360349754,0.08576753870138788,0.22950737509091218,0.1437398363895243,0.10256410256410256,0.09434616718695803,0.3406275917479536,0.9911061120922384,0.9822122873334312,0.050855447521379854,0.0534202319879003,0.25,0.05053763440860215,0.1,0.20512820512820512,0.23076923076923078,0.02564102564102566,0,0,0,0,1,1,130,39
18,C2,C2,exact,0.22341424199062448,23.0,70.0,22,91,0.24731182795698925,0.023897585966364765,0.16554846205777776,0.3393632410490132,0.17381477899123546,0.15384615384615385,0.13891334702989228,0.4553351781993139,0.5399420972164878,0.08074923569559811,0.6962465666223395,0.026585758009375515,0.25,0.0026881720430107503,0.25,0.20512820512820512,0.1794871794871795,-0.025641025641025633,1,1,1,0,1,1,130,39
194998,C2,C2,exact,0.16651212982409969,15.0,78.0,14,91,0.16129032258064516,-0.005221807243454529,0.0942251622411572,0.24212308005386116,0.14789791781270395,0.1794871794871795,0.1476026574881934,0.47180375310755335,0.9826350399567719,0.9652703156023281,0.08760159406448959,0.06651212982409968,0.1,0.06129032258064515,0.1,0.1282051282051282,0.10256410256410256,-0.025641025641025633,0,0,0,0,1,1,130,39
194999,C2,C2,exact,0.13408580826771654,14.0,79.0,13,91,0.15053763440860216,0.01645182614088561,0.08576753870138788,0.22950737509091218,0.1437398363895243,0.1794871794871795,0.1481096080471731,0.4737345550442431,0.9911061120922384,0.9822122873334312,0.050855447521379854,0.03408580826771654,0.1,0.05053763440860215,0.1,0.07692307692307693,0.20512820512820512,0.1282051282051282,0,0,0,0,0,0,130,39
195000,B1,A2,adjacent,0.6331877180523752,68.0,25.0,67,91,0.7311827956989247,0.09799507764654958,0.6371486295185238,0.8158023247806453,0.1786536952621215,0.7692307692307693,0.17896244118928825,0.5440068372789739,0.7553355903165999,0.5126602575467314,0.5684667747002141,0.06681228194762479,0.7,0.031182795698924792,0.7,0.6410256410256411,0.7692307692307693,0.1282051282051282,0,0,0,0,0,0,130,39
195001,A2,A2,exact,0.7095725884156262,66.0,27.0,65,91,0.7096774193548387,0.00010483093921254127,0.6139316075928991,0.7968827584654082,0.18295115087250913,0.7692307692307693,0.18106139438085328,0.549210414824237,0.592822903293671,0.18671512687968544,0.6839033398583116,0.009572588415626249,0.7,0.00967741935483879,0.7,0.6923076923076923,0.5641025641025641,-0.1282051282051282,1,1,0,1,1,1,130,39
195002,A1,A1,exact,0.9327631171992582,86.0,7.0,85,91,0.9247311827956989,-0.008031934403559315,0.8634379041598688,0.9688622275618417,0.10542432340197294,0.9487179487179487,0.04922756743776515,0.2068899993201684,0.9869304491725475,0.9738609340365798,0.06967304891659196,0.01723688280074176,0.95,0.025268817204301075,0.95,0.9743589743589743,0.8717948717948718,-0.10256410256410253,0,0,0,0,1,1,130,39
195003,C1,C1,exact,0.34474965986830974,30.0,63.0,29,91,0.3225806451612903,-0.02216901470701943,0.23196382222928755,0.4204256383952337,0.18846181616594618,0.3333333333333333,0.22233784252514743,0.6367772150048491,0.8796281041833152,0.8179159049331439,0.45111069524934744,0.05525034013169028,0.4,0.07258064516129031,0.25,0.23076923076923078,0.3333333333333333,0.10256410256410253,0,0,0,0,0,0,130,39
