item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
13,A1,A1,exact,0.8916666666666666,33.0,4.0,32,35,0.8918918918918919,0.00022522522522527844,0.7753102394430269,0.9688838600549847,0.19357362061195782,1.0,0.011687363038714395,0.11441035117774417,0.7874073324315555,0.576868379827791,0.5289611795040453,0.04166666666666663,0.85,0.04189189189189191,0.85,0.8666666666666667,0.9333333333333333,0.06666666666666665,0,0,0,0,0,0,50,15
14,A1,A1,exact,0.895,33.0,4.0,32,35,0.8918918918918919,-0.003108108108108132,0.7753102394430269,0.9688838600549847,0.19357362061195782,0.8,0.1684441197954712,0.536452991247062,0.7874073324315555,0.576868379827791,0.5289611795040453,0.04500000000000004,0.85,0.04189189189189191,0.85,0.9333333333333333,1.0,0.06666666666666665,0,0,0,0,0,0,50,15
15,A1,A2,adjacent,0.8983333333333333,30.0,7.0,29,35,0.8108108108108109,-0.08752252252252246,0.6718840679570819,0.9180563602347911,0.2461722922777092,1.0,0.0357925493060628,0.20972053098206897,0.6575643130658643,0.36879417994020874,0.7933768632232214,0.04833333333333334,0.85,0.03918918918918912,0.85,0.9333333333333333,1.0,0.06666666666666665,1,0,0,0,0,1,50,15
16,A1,A1,exact,0.9016666666666666,33.0,4.0,32,35,0.8918918918918919,-0.00977477477477473,0.7753102394430269,0.9688838600549847,0.19357362061195782,0.9333333333333333,0.06393961529096666,0.2550912312008501,0.7874073324315555,0.576868379827791,0.5289611795040453,0.04833333333333334,0.95,0.04189189189189191,0.85,0.8,0.8,0.0,0,0,0,0,1,1,50,15
17,A1,A1,exact,0.905,32.0,5.0,31,35,0.8648648648648649,-0.040135135135135114,0.7393890794891709,0.9533223393969098,0.21393325990773893,0.9333333333333333,0.0669101533966399,0.26893520920220626,0.6331690920245696,0.2736863398067017,0.693359698144158,0.04499999999999993,0.95,0.014864864864864935,0.85,1.0,0.9333333333333333,-0.06666666666666665,1,0,0,0,1,1,50,15
18,A1,A1,exact,0.9083333333333332,33.0,4.0,32,35,0.8918918918918919,-0.01644144144144133,0.7753102394430269,0.9688838600549847,0.19357362061195782,1.0,0.011687363038714395,0.11441035117774417,0.7874073324315555,0.576868379827791,0.5289611795040453,0.04166666666666674,0.95,0.04189189189189191,0.85,1.0,0.8666666666666667,-0.1333333333333333,0,0,0,0,1,1,50,15
19,A1,A1,exact,0.9116666666666666,32.0,5.0,31,35,0.8648648648648649,-0.04680180180180171,0.7393890794891709,0.9533223393969098,0.21393325990773893,0.8666666666666667,0.11555880204528855,0.39268840855991466,0.6331690920245696,0.2736863398067017,0.693359698144158,0.03833333333333333,0.95,0.014864864864864935,0.85,0.8,0.9333333333333333,0.1333333333333333,1,0,0,0,0,1,50,15
20,A1,A1,exact,0.915,35.0,2.0,34,35,0.9459459459459459,0.030945945945945907,0.8547107352531467,0.9931996993459772,0.1384889640928305,0.9333333333333333,0.06238130021913806,0.24638324321677535,0.9536677342794722,0.9074308514236773,0.18825638010853155,0.03499999999999992,0.95,0.004054054054054013,0.95,1.0,0.8666666666666667,-0.1333333333333333,0,0,0,0,1,1,50,15
21,A1,A1,exact,0.9183333333333332,33.0,4.0,32,35,0.8918918918918919,-0.026441441441441338,0.7753102394430269,0.9688838600549847,0.19357362061195782,1.0,0.011687363038714395,0.11441035117774417,0.7874073324315555,0.576868379827791,0.5289611795040453,0.03166666666666673,0.95,0.04189189189189191,0.85,1.0,0.6666666666666666,-0.33333333333333337,0,0,0,0,1,1,50,15
22,A1,A1,exact,0.9216666666666666,35.0,2.0,34,35,0.9459459459459459,0.02427927927927931,0.8547107352531467,0.9931996993459772,0.1384889640928305,0.9333333333333333,0.06238130021913806,0.24638324321677535,0.9536677342794722,0.9074308514236773,0.18825638010853155,0.02833333333333332,0.95,0.004054054054054013,0.95,0.9333333333333333,0.9333333333333333,0.0,0,0,0,0,1,1,50,15
23,A1,A2,adjacent,0.925,31.0,6.0,30,35,0.8378378378378378,-0.08716216216216222,0.7050250518893684,0.9362798663916143,0.23125481450224594,0.9333333333333333,0.0713416118821524,0.2864125571762176,0.5234453048315222,0.06863597905340124,0.7809304362330527,0.02499999999999991,0.95,0.012162162162162149,0.85,1.0,1.0,0.0,1,1,1,0,1,1,50,15
24,A1,A2,adjacent,0.9283333333333332,31.0,6.0,30,35,0.8378378378378378,-0.0904954954954954,0.7050250518893684,0.9362798663916143,0.23125481450224594,0.8666666666666667,0.11638665692719745,0.3958944061933572,0.5234453048315222,0.06863597905340124,0.7809304362330527,0.021666666666666723,0.95,0.012162162162162149,0.85,0.8666666666666667,0.9333333333333333,0.06666666666666665,1,1,1,0,0,1,50,15
25,A1,A1,exact,0.9316666666666666,33.0,4.0,32,35,0.8918918918918919,-0.03977477477477476,0.7753102394430269,0.9688838600549847,0.19357362061195782,0.8666666666666667,0.11619186754321892,0.3957721112239561,0.7874073324315555,0.576868379827791,0.5289611795040453,0.018333333333333313,0.95,0.04189189189189191,0.85,1.0,1.0,0.0,0,0,0,0,1,1,50,15
26,A1,A1,exact,0.935,32.0,5.0,31,35,0.8648648648648649,-0.07013513513513514,0.7393890794891709,0.9533223393969098,0.21393325990773893,0.8,0.16420745069393722,0.5164416079176231,0.6331690920245696,0.2736863398067017,0.693359698144158,0.014999999999999902,0.95,0.014864864864864935,0.85,1.0,0.9333333333333333,-0.06666666666666665,1,0,0,0,1,1,50,15
27,A1,A1,exact,0.9383333333333332,35.0,2.0,34,35,0.9459459459459459,0.007612612612612701,0.8547107352531467,0.9931996993459772,0.1384889640928305,1.0,0.002921840759678599,0.055569851154810744,0.9536677342794722,0.9074308514236773,0.18825638010853155,0.011666666666666714,0.95,0.004054054054054013,0.95,0.9333333333333333,1.0,0.06666666666666665,0,0,0,0,0,0,50,15
